Koonin	Hutchinson	Tomita	Gil_2004	Glass	Church	Atlas	Huang	Karr	Gil_2014	Agreed100	Agreed90
MG_014	MG_009	MG_009	MG_012	MG_009	MG_009	MG_012	MG_009	MG_009	MG_009	MG_040	MG_014
MG_020	MG_014	MG_012	MG_014	MG_012	MG_012	MG_014	MG_012	MG_014	MG_012	MG_062	MG_029
MG_027	MG_029	MG_014	MG_015	MG_033	MG_014	MG_015	MG_014	MG_015	MG_014	MG_149	MG_039
MG_029	MG_033	MG_015	MG_020	MG_039	MG_015	MG_020	MG_015	MG_027	MG_015	MG_213	MG_040
MG_040	MG_052	MG_020	MG_027	MG_040	MG_020	MG_027	MG_020	MG_029	MG_020	MG_226	MG_061
MG_046	MG_062	MG_027	MG_029	MG_061	MG_027	MG_029	MG_027	MG_030	MG_027	MG_288	MG_062
MG_055	MG_085	MG_029	MG_033	MG_062	MG_029	MG_033	MG_029	MG_033	MG_029	MG_291	MG_085
MG_061	MG_110	MG_030	MG_040	MG_063	MG_030	MG_040	MG_030	MG_040	MG_033	MG_293	MG_110
MG_062	MG_130	MG_040	MG_050	MG_110	MG_033	MG_050	MG_033	MG_050	MG_040	MG_316	MG_130
MG_064	MG_132	MG_046	MG_052	MG_121	MG_040	MG_052	MG_040	MG_052	MG_050	MG_352	MG_149
MG_075	MG_149	MG_048	MG_061	MG_149	MG_046	MG_061	MG_050	MG_055	MG_052	MG_370	MG_183
MG_085	MG_183	MG_050	MG_062	MG_183	MG_048	MG_062	MG_052	MG_059	MG_061	MG_385	MG_186
MG_101	MG_186	MG_052	MG_063	MG_210	MG_050	MG_063	MG_055	MG_061	MG_062	MG_390	MG_213
MG_105	MG_191	MG_055	MG_064	MG_213	MG_052	MG_064	MG_061	MG_062	MG_063	MG_428	MG_214
MG_109	MG_192	MG_059	MG_065	MG_214	MG_055	MG_065	MG_062	MG_063	MG_064	MG_438	MG_226
MG_110	MG_209	MG_061	MG_075	MG_227	MG_059	MG_075	MG_063	MG_064	MG_065		MG_236
MG_121	MG_213	MG_062	MG_085	MG_244	MG_061	MG_085	MG_064	MG_065	MG_075		MG_244
MG_123	MG_226	MG_063	MG_086	MG_252	MG_062	MG_086	MG_065	MG_075	MG_085		MG_252
MG_130	MG_264	MG_064	MG_101	MG_264	MG_063	MG_101	MG_075	MG_083	MG_086		MG_316
MG_132	MG_316	MG_065	MG_105	MG_316	MG_064	MG_105	MG_085	MG_085	MG_101		MG_327
MG_139	MG_317	MG_072	MG_109	MG_339	MG_065	MG_109	MG_086	MG_086	MG_105		MG_339
MG_149	MG_327	MG_075	MG_110	MG_346	MG_072	MG_110	MG_097	MG_097	MG_109		MG_352
MG_183	MG_335	MG_083	MG_119	MG_352	MG_075	MG_119	MG_101	MG_101	MG_110		MG_355
MG_184	MG_339	MG_085	MG_120	MG_355	MG_083	MG_120	MG_105	MG_105	MG_119		MG_370
MG_188	MG_346	MG_086	MG_121	MG_358	MG_085	MG_121	MG_109	MG_119	MG_120		MG_380
MG_189	MG_352	MG_097	MG_123	MG_359	MG_086	MG_123	MG_110	MG_120	MG_121		MG_385
MG_190	MG_370	MG_101	MG_127	MG_370	MG_097	MG_127	MG_119	MG_121	MG_123		MG_390
MG_191	MG_380	MG_105	MG_130	MG_380	MG_101	MG_130	MG_120	MG_123	MG_127		MG_408
MG_192	MG_385	MG_109	MG_139	MG_385	MG_105	MG_132	MG_121	MG_127	MG_130		MG_410
MG_200	MG_390	MG_110	MG_149	MG_390	MG_109	MG_139	MG_123	MG_130	MG_132		MG_411
MG_205	MG_408	MG_119	MG_183	MG_398	MG_110	MG_149	MG_127	MG_132	MG_139		MG_412
MG_208	MG_410	MG_120	MG_184	MG_408	MG_119	MG_183	MG_130	MG_149	MG_149		MG_438
MG_213	MG_411	MG_121	MG_187	MG_410	MG_120	MG_184	MG_132	MG_187	MG_183		MG_454
MG_214	MG_412	MG_123	MG_188	MG_411	MG_121	MG_187	MG_139	MG_188	MG_184		MG_467
MG_217	MG_421	MG_127	MG_189	MG_412	MG_123	MG_188	MG_143	MG_189	MG_187		MG_468
MG_218	MG_438	MG_130	MG_190	MG_438	MG_127	MG_189	MG_149	MG_190	MG_188		
MG_225	MG_442	MG_132	MG_191	MG_454	MG_130	MG_190	MG_183	MG_200	MG_189		
MG_226	MG_467	MG_139	MG_192	MG_460	MG_132	MG_191	MG_184	MG_205	MG_190		
MG_235	MG_468	MG_143	MG_200	MG_463	MG_139	MG_192	MG_187	MG_209	MG_191		
MG_236	MG_470	MG_149	MG_205	MG_498	MG_143	MG_200	MG_188	MG_213	MG_192		
MG_240		MG_170	MG_208		MG_149	MG_205	MG_189	MG_214	MG_200		
