	GeneID
0	MG_003
1	MG_004
2	MG_005
3	MG_006
4	MG_007
5	MG_008
7	MG_013
8	MG_019
9	MG_021
10	MG_023
11	MG_026
13	MG_031
14	MG_033
15	MG_034
16	MG_035
17	MG_036
18	MG_038
20	MG_041
22	MG_047
24	MG_049
26	MG_051
27	MG_053
29	MG_058
34	MG_066
35	MG_069
36	MG_070
37	MG_071
40	MG_077
41	MG_079
42	MG_081
43	MG_082
47	MG_087
48	MG_088
49	MG_089
50	MG_092
51	MG_093
52	MG_094
54	MG_098
55	MG_099
56	MG_100
57	MG_102
59	MG_106
60	MG_107
63	MG_111
64	MG_113
65	MG_114
66	MG_118
70	MG_124
71	MG_126
72	MG_128
74	MG_136
75	MG_137
78	MG_142
79	MG_150
80	MG_151
81	MG_152
82	MG_153
83	MG_154
84	MG_155
85	MG_156
86	MG_157
87	MG_158
88	MG_159
89	MG_160
90	MG_161
91	MG_162
92	MG_163
93	MG_164
94	MG_165
95	MG_166
96	MG_167
97	MG_168
98	MG_169
100	MG_171
102	MG_173
103	MG_174
104	MG_175
105	MG_176
107	MG_178
108	MG_179
109	MG_180
110	MG_181
113	MG_194
114	MG_195
115	MG_196
116	MG_197
117	MG_198
118	MG_203
119	MG_204
124	MG_212
126	MG_215
127	MG_216
128	MG_221
129	MG_224
130	MG_229
131	MG_230
132	MG_231
133	MG_232
134	MG_234
136	MG_238
140	MG_245
142	MG_250
143	MG_251
145	MG_253
146	MG_254
147	MG_257
148	MG_258
149	MG_261
152	MG_266
154	MG_271
155	MG_272
156	MG_273
157	MG_274
158	MG_275
159	MG_276
160	MG_278
162	MG_283
164	MG_292
169	MG_299
170	MG_300
171	MG_301
172	MG_305
173	MG_311
174	MG_322
175	MG_323
179	MG_330
181	MG_334
187	MG_345
190	MG_351
192	MG_357
194	MG_361
195	MG_362
196	MG_365
198	MG_368
202	MG_375
203	MG_378
206	MG_382
207	MG_383
208	MG_384
210	MG_394
211	MG_396
219	MG_407
221	MG_410
222	MG_411
223	MG_417
224	MG_418
225	MG_419
228	MG_426
229	MG_429
230	MG_431
231	MG_433
232	MG_434
233	MG_435
234	MG_437
236	MG_444
238	MG_446
241	MG_451
242	MG_453
243	MG_455
245	MG_458
247	MG_462
250	MG_466
251	MG_469
252	MG_481
