	GeneID	GOID	GOTerms
0	MG_434	GO:0044210	de novo' CTP biosynthetic process
1	MG_058	GO:0006015	5-phosphoribose 1-diphosphate biosynthetic process
2	MG_058	GO:0009116	nucleoside metabolic process
3	MG_058	GO:0009165	nucleotide biosynthetic process
4	MG_299	GO:0006085	acetyl-CoA biosynthetic process
5	MG_357	GO:0006085	acetyl-CoA biosynthetic process
6	MG_357	GO:0006082	organic acid metabolic process
7	MG_276	GO:0006168	adenine salvage
8	MG_276	GO:0044209	AMP salvage
9	MG_276	GO:0006166	purine ribonucleoside salvage
10	MG_301	GO:0044650	adhesion of symbiont to host cell
11	MG_301	GO:0006006	glucose metabolic process
12	MG_301	GO:0006096	glycolytic process
13	MG_292	GO:0006419	alanyl-tRNA aminoacylation
14	MG_171	GO:0044209	AMP salvage
15	MG_378	GO:0006420	arginyl-tRNA aminoacylation
16	MG_113	GO:0006421	asparaginyl-tRNA aminoacylation
20	MG_399	GO:0015986	ATP synthesis coupled proton transport
21	MG_400	GO:0015986	ATP synthesis coupled proton transport
22	MG_401	GO:0015986	ATP synthesis coupled proton transport
23	MG_402	GO:0015986	ATP synthesis coupled proton transport
30	MG_453	GO:0009058	biosynthetic process
31	MG_453	GO:0006011	UDP-glucose metabolic process
32	MG_053	GO:0005975	carbohydrate metabolic process
35	MG_112	GO:0005975	carbohydrate metabolic process
36	MG_396	GO:0005975	carbohydrate metabolic process
37	MG_396	GO:0009052	"pentose-phosphate shunt	 non-oxidative branch "
41	MG_212	GO:0016024	CDP-diacylglycerol biosynthetic process
42	MG_437	GO:0016024	CDP-diacylglycerol biosynthetic process
47	MG_224	GO:0007049	cell cycle
48	MG_224	GO:0051301	cell division
49	MG_238	GO:0007049	cell cycle
50	MG_238	GO:0051301	cell division
51	MG_238	GO:0006457	protein folding
52	MG_335	GO:0007049	cell cycle
53	MG_335	GO:0051301	cell division
56	MG_124	GO:0045454	cell redox homeostasis
57	MG_124	GO:0006662	glycerol ether metabolic process
58	MG_271	GO:0045454	cell redox homeostasis
59	MG_271	GO:0006096	glycolytic process
60	MG_275	GO:0045454	cell redox homeostasis
64	MG_298	GO:0030261	chromosome condensation
65	MG_298	GO:0007062	sister chromatid cohesion
67	MG_382	GO:0044211	CTP salvage
68	MG_382	GO:0044206	UMP salvage
69	MG_253	GO:0006423	cysteinyl-tRNA aminoacylation
81	MG_229	GO:0009263	deoxyribonucleotide biosynthetic process
82	MG_229	GO:0006260	DNA replication
85	MG_034	GO:0071897	DNA biosynthetic process
97	MG_206	GO:0006281	DNA repair
98	MG_206	GO:0009432	SOS response
102	MG_254	GO:0006281	DNA repair
103	MG_254	GO:0006260	DNA replication
104	MG_001	GO:0006260	DNA replication
105	MG_019	GO:0006260	DNA replication
106	MG_019	GO:0006457	protein folding
107	MG_019	GO:0009408	response to heat
108	MG_031	GO:0006260	DNA replication
109	MG_231	GO:0006260	DNA replication
110	MG_261	GO:0006260	DNA replication
111	MG_315	GO:0006260	DNA replication
112	MG_419	GO:0006260	DNA replication
113	MG_469	GO:0006270	DNA replication initiation
114	MG_469	GO:0006275	regulation of DNA replication
115	MG_094	GO:0006269	"DNA replication	 synthesis of RNA primer "
117	MG_003	GO:0006265	DNA topological change
118	MG_004	GO:0006265	DNA topological change
119	MG_122	GO:0006265	DNA topological change
120	MG_203	GO:0006265	DNA topological change
121	MG_204	GO:0006265	DNA topological change
122	MG_249	GO:0006352	"DNA-templated transcription	 initiation "
123	MG_428	GO:0006352	"DNA-templated transcription	 initiation "
124	MG_141	GO:0006353	"DNA-templated transcription	 termination "
125	MG_141	GO:0031564	transcription antitermination
126	MG_006	GO:0006233	dTDP biosynthetic process
129	MG_517	GO:0009246	enterobacterial common antigen biosynthetic process
130	MG_517	GO:0006071	glycerol metabolic process
131	MG_517	GO:0046467	membrane lipid biosynthetic process
132	MG_145	GO:0006747	FAD biosynthetic process
133	MG_145	GO:0009398	FMN biosynthetic process
134	MG_145	GO:0009231	riboflavin biosynthetic process
136	MG_287	GO:0006633	fatty acid biosynthetic process
137	MG_368	GO:0006633	fatty acid biosynthetic process
