Gene Names 	Gene ontology (biological process) 1st	Gene ontology (biological process) 2nd	Gene ontology (biological process) 3rd
MG_434	'de novo' CTP biosynthetic process 		
MG_058	5-phosphoribose 1-diphosphate biosynthetic process 	nucleoside metabolic process 	nucleotide biosynthetic process 
MG_299	acetyl-CoA biosynthetic process 		
MG_357	acetyl-CoA biosynthetic process 	organic acid metabolic process 	
MG_276	adenine salvage 	AMP salvage 	purine ribonucleoside salvage 
MG_301	adhesion of symbiont to host cell 	glucose metabolic process 	glycolytic process 
MG_292	alanyl-tRNA aminoacylation 		
MG_171	AMP salvage 		
MG_378	arginyl-tRNA aminoacylation 		
MG_113	asparaginyl-tRNA aminoacylation 		
MG_404	ATP hydrolysis coupled proton transport 	ATP synthesis coupled proton transport 	
MG_398	ATP synthesis coupled proton transport 		
MG_399	ATP synthesis coupled proton transport 		
MG_400	ATP synthesis coupled proton transport 		
MG_401	ATP synthesis coupled proton transport 		
MG_402	ATP synthesis coupled proton transport 		
MG_403	ATP synthesis coupled proton transport 		
MG_405	ATP synthesis coupled proton transport 		
MG_097	base-excision repair 		
MG_498	base-excision repair 	nucleotide-excision repair 	
MG_240	biosynthetic process 		
MG_453	biosynthetic process 	UDP-glucose metabolic process 	
MG_053	carbohydrate metabolic process 		
MG_085	carbohydrate metabolic process 	regulation of carbohydrate metabolic process 	
MG_112	carbohydrate metabolic process 		
MG_396	carbohydrate metabolic process 	pentose-phosphate shunt, non-oxidative branch 	
MG_460	carbohydrate metabolic process 	carboxylic acid metabolic process 	
MG_119	carbohydrate transport 		
MG_212	CDP-diacylglycerol biosynthetic process 		
MG_437	CDP-diacylglycerol biosynthetic process 		
MG_192	cell adhesion 		
MG_213	cell cycle 	cell division 	chromosome segregation 
MG_224	cell cycle 	cell division 	
MG_238	cell cycle 	cell division 	protein folding 
MG_335	cell cycle 	cell division 	
MG_214	cell division 	chromosome separation 	
MG_124	cell redox homeostasis 	glycerol ether metabolic process 	
MG_271	cell redox homeostasis 	glycolytic process 	
MG_275	cell redox homeostasis 		
MG_409	cellular phosphate ion homeostasis 	negative regulation of phosphate metabolic process 	
